ed,wage
9,259.999576
9,304.999458
9,401.99916
9,401.99916
9,429.001322
9,480.00187
9,515.001596
11,474.997718
11,500.000951
11,525.000912
11,694.998717
11,809.996559
11,889.998698
11,912.000009
12,285.000234
12,623.99977
12,698.000626
12,737.001554
12,809.000876
12,878.995695
12,953.996497
10,472.000479
10,511.997632
10,545.002292
10,577.997764
10,644.999796
10,707.997102
10,751.003266
16,624.998969
16,749.997595
16,760.001191
16,1077.99703
16,1150.0032
16,1499.99942
16,1474.00726
12,997.99673
12,997.99673
12,1000.00472
12,1100.005
12,1174.99597
12,1844.99159
12,1539.00287
12,461.000902
12,480.00187
12,499.001948
12,552.001079
12,586.997171
12,630.000114
12,679.998097
10,561.99896
10,603.997465
10,694.998717
10,707.997102
10,728.997279
10,913.999478
10,984.004037
16,699.999766
16,699.999766
16,899.995713
16,1000.00472
16,1200.0038
16,1300.00059
16,1350.00017
16,600.000207
16,624.998969
16,624.998969
16,624.998969
16,679.998097
16,744.996857
16,845.00285
12,778.999185
12,833.997162
12,899.995713
12,1000.00472
12,1140.9996
12,1245.99539
12,1400.00348
12,699.999766
12,756.997537
12,831.000171
12,839.998411
12,831.000171
12,1044.99774
12,1155.99879
12,997.99673
12,992.999341
12,1300.00059
12,1430.0004
12,1421.0055
12,1414.99319
12,1636.00079
17,899.995713
17,899.995713
17,1018.00489
17,1100.005
17,1250.00146
17,1242.00216
17,1240.00414
14,379.999524
14,351.001326
14,403.001386
14,439.000258
14,598.999043
14,649.998464
14,649.998464
12,395.001673
12,325.001566
12,349.998896
12,384.998716
12,467.000347
12,481.001313
12,594.999164
14,749.997595
14,660.000109
14,879.998321
14,850.003103
14,1200.0038
14,1250.00146
14,1250.00146
16,997.99673
16,997.99673
16,1999.99508
16,2099.99449
16,2250.01014
16,2399.99036
16,2449.99191
12,594.000404
12,647.999549
12,693.998639
12,792.997445
12,846.999412
12,926.996695
12,1028.99719
16,883.004238
16,950.996137
16,1080.00397
16,1162.0024
16,1347.0065
16,1224.00066
16,1432.0038
4,427.998632
4,425.000353
4,399.998181
4,500.000951
4,558.000579
4,627.999896
4,627.999896
14,734.999633
14,734.999633
14,799.998618
14,834.99856
14,975.002466
14,1050.00479
14,1150.0032
16,997.99673
16,997.99673
16,1799.9965
16,2125.0062
16,2600.00852
16,3100.00809
16,2679.99444
12,230.000159
12,249.999771
12,265.000046
12,289.999732
12,309.999288
12,344.998476
12,349.998896
17,685.000796
17,719.999127
17,824.997206
17,799.998618
17,889.998698
17,1069.9958
17,1000.00472
15,649.998464
15,699.999766
15,959.996847
15,949.998115
15,1450.00169
15,1900.00159
15,1583.00465
16,410.001165
16,997.99673
16,1150.0032
16,1425.00414
16,1200.0038
16,1057.00002
16,1499.99942
12,839.998411
12,809.996559
12,799.998618
12,850.003103
12,838.001592
12,899.995713
12,850.003103
14,997.99673
14,997.99673
14,1166.9981
14,1949.99093
14,2149.99329
14,1760.00161
14,1919.99911
12,490.997973
12,544.00041
12,561.99896
12,580.0011
12,653.001875
12,718.999024
12,768.000205
17,997.99673
17,997.99673
17,1499.99942
17,1400.00348
17,1780.00242
17,1900.00159
17,2024.98992
16,997.99673
16,997.99673
16,1749.99813
16,1649.99907
16,2010
16,3130.00537
16,2299.98988
16,997.99673
16,997.99673
16,1300.00059
16,1450.00169
16,1395.00043
16,1600.00175
16,1749.99813
8,316.999438
8,351.001326
8,338.001387
8,382.998089
8,516.998514
8,496.00202
8,397.001477
13,674.998184
13,743.002939
13,600.000207
13,855.999678
13,978.998392
13,1110.00522
13,1125.0019
10,749.997595
10,874.996599
10,1250.00146
10,1198.00146
10,1250.00146
10,1000.00472
10,1313.00017
14,997.99673
14,846.999412
14,1100.005
14,1250.00146
14,1265.00329
14,1454.99828
14,1651.00587
12,425.000353
12,425.000353
12,425.000353
12,583.00164
12,623.99977
12,698.999481
12,679.998097
13,649.998464
13,724.9988
13,649.998464
13,685.000796
13,899.995713
13,879.998321
13,904.995526
8,576.998692
8,665.001968
8,722.00351
8,807.998337
8,886.995581
8,1000.00472
8,1568.99411
16,997.99673
16,997.99673
16,1600.00175
16,1792.00431
16,1949.99093
16,1859.99671
16,2309.99352
12,501.99994
12,660.997462
12,721.000622
12,804.000588
12,892.00345
12,1016.99756
12,1125.0019
16,799.998618
16,938.000048
16,1000.00472
16,1100.005
16,1250.00146
16,1649.99907
16,1699.994
17,997.99673
17,997.99673
17,1350.00017
17,1499.99942
17,1699.994
17,1796.00494
17,1999.99508
13,505.000793
13,563.000209
13,550.000947
13,649.998464
13,760.001191
13,798.001119
13,774.997652
12,458.000374
12,509.00101
12,559.000295
12,558.000579
12,644.00082
12,739.999862
12,699.999766
14,997.99673
14,997.99673
14,1150.0032
14,1200.0038
14,1350.00017
14,1234.00468
14,1200.0038
16,997.99673
16,997.99673
16,1250.00146
16,1375.00136
16,1250.00146
16,1499.99942
16,1699.994
16,997.99673
16,997.99673
16,1999.99508
16,2156.00015
16,2212.9904
16,2199.99419
16,2491.99781
12,529.00083
12,600.997034
12,654.001732
12,704.001157
12,776.999728
12,853.000386
12,943.003506
17,997.99673
17,997.99673
17,1999.99508
17,2099.99449
17,2500.00997
17,2600.00852
17,2750.01048
16,997.99673
16,997.99673
16,1400.00348
16,1250.00146
16,1749.99813
16,1999.99508
16,2099.99449
13,623.99977
13,997.99673
13,1050.00479
13,1050.00479
13,1165.00423
13,1350.00017
13,1350.00017
11,673.003143
11,727.999237
11,799.998618
11,850.003103
11,989.995106
11,1185.00231
11,1212.00343
8,775.998044
8,944.003619
8,949.998115
8,1016.00139
8,1142.9981
8,1253.00507
8,1350.00017
12,450.001088
12,474.997718
12,563.000209
12,563.000209
12,624.998969
12,724.9988
12,688.0008
11,419.998021
11,539.002387
11,410.001165
11,718.999024
11,699.999766
11,686.997051
11,552.001079
14,699.999766
14,799.998618
14,809.996559
14,1000.00472
14,1100.005
14,1290.00323
14,1250.00146
17,997.99673
17,997.99673
17,1549.99968
17,1699.994
17,1775.00763
17,1999.99508
17,2099.99449
11,393.999642
11,419.998021
11,419.998021
11,419.998021
11,455.001174
11,501.99994
11,478.999714
17,885.002084
17,980.997587
17,979.99748
17,1062.9996
17,949.998115
17,843.997895
17,1250.00146
16,721.000622
16,929.995735
16,1004.99717
16,1052.00169
16,1018.00489
16,1391.00252
16,1440.00232
17,997.99673
17,997.99673
17,1799.9965
17,1900.00159
17,1855.00005
17,2273.00949
17,1582.00768
12,576.001347
12,614.998605
12,649.998464
12,689.998898
12,699.999766
12,799.998618
12,899.995713
8,703.002185
8,752.002764
8,831.000171
8,879.998321
8,1030.99538
8,1135.00235
8,1148.00393
8,549.000856
8,600.000207
8,676.999138
8,743.002939
8,802.001117
8,872.000502
8,949.998115
12,390.001272
12,415.000614
12,469.998734
12,500.000951
12,550.000947
12,630.000114
12,649.998464
12,638.001095
12,670.001533
12,712.001487
12,787.001379
12,859.000926
12,899.995713
12,1050.00479
13,605.000933
13,704.001157
13,749.997595
13,749.997595
13,815.001538
13,929.995735
13,1022.99512
16,649.998464
16,649.998464
16,749.997595
16,899.995713
16,1000.00472
16,1000.00472
16,1300.00059
16,809.996559
16,899.995713
16,989.995106
16,1050.00479
16,1250.00146
16,1400.00348
16,1638.99741
17,649.998464
17,749.997595
17,749.997595
17,799.998618
17,949.998115
17,1000.00472
17,1100.005
16,640.001167
16,776.999728
16,840.998604
16,909.995815
16,1006.9991
16,947.000859
16,1227.99741
13,224.99991
13,249.999771
13,269.999471
13,299.999258
13,319.999681
13,359.998549
13,349.998896
8,289.999732
8,399.998181
8,439.99792
8,480.00187
8,520.999978
8,624.998969
8,630.000114
13,175.000705
13,277.99969
13,344.998476
13,388.001808
13,415.000614
13,469.998734
13,516.001669
10,249.999771
10,299.999258
10,495.001108
10,427.998632
10,492.000632
10,474.00127
10,534.002222
12,299.999258
12,325.001566
12,325.001566
12,474.997718
12,500.000951
12,500.000951
12,550.000947
8,228.000997
8,237.99984
8,283.000878
8,295.00137
8,349.998896
8,384.998716
8,425.000353
17,850.003103
17,913.003761
17,779.996943
17,1200.0038
17,1186.99478
17,1080.00397
17,1425.00414
16,574.999977
16,565.002412
16,624.998969
16,600.000207
16,1385.00635
16,1569.99859
16,1303.99773
12,749.997595
12,784.997082
12,910.997361
12,980.997587
12,1051.00276
12,1025.9969
12,1170.99606
12,455.998719
12,440.99785
12,540.000465
12,600.000207
12,658.997671
12,733.003151
12,709.003172
17,724.9988
17,749.997595
17,749.997595
17,603.00169
17,874.996599
17,1018.00489
17,812.999098
7,474.997718
7,506.001685
7,556.000948
7,636.000914
7,674.998184
7,749.997595
7,787.001379
12,500.000951
12,824.997206
12,624.998969
12,778.002704
12,779.996943
12,958.002129
12,774.997652
14,693.998639
14,737.001554
14,850.998189
14,958.002129
14,1052.00169
14,1112.00503
14,1230.99738
15,583.999426
15,600.000207
15,706.003362
15,838.001592
15,958.002129
15,1280.00594
15,1440.00232
12,425.000353
12,413.000994
12,550.000947
12,589.998503
12,779.996943
12,799.998618
12,845.00285
12,500.000951
12,500.000951
12,550.000947
12,600.000207
12,500.000951
12,600.000207
12,774.997652
7,568.999753
7,610.000636
7,834.99856
7,867.000887
7,949.998115
7,1100.005
7,1300.00059
14,649.998464
14,724.9988
14,839.998411
14,909.995815
14,1055.00417
14,666.999969
14,813.999702
7,399.998181
7,481.998017
7,481.998017
7,600.000207
7,666.000219
7,739.999862
7,1000.00472
17,889.998698
17,940.000117
17,965.001832
17,1050.00479
17,1207.99834
17,1288.00527
17,1288.00527
8,535.99777
8,560.001801
8,649.998464
8,668.00122
8,725.999989
8,867.000887
8,906.997778
16,997.99673
16,997.99673
16,1549.99968
16,1350.00017
16,1849.9983
16,2156.00015
16,2399.99036
11,450.001088
11,506.001685
11,552.001079
11,613.996974
11,674.998184
11,755.99896
11,926.996695
17,834.99856
17,989.995106
17,1079.00004
17,1186.99478
17,1300.00059
17,1271.00093
17,1579.9998
12,323.998861
12,338.999964
12,346.000424
12,386.001015
12,431.000823
12,488.002242
12,511.000209
11,399.998181
11,450.001088
11,600.000207
11,600.000207
11,649.998464
11,649.998464
11,699.999766
14,809.996559
14,894.996672
14,986.999961
14,1062.9996
14,1018.00489
14,1313.00017
14,1302.99404
17,799.998618
17,899.995713
17,1000.00472
17,1150.0032
17,1150.0032
17,1499.99942
17,1699.994
16,550.000947
16,724.9988
16,749.997595
16,1000.00472
16,1059.99556
16,1174.99597
16,1050.00479
7,309.999288
7,334.999822
7,365.000966
7,379.999524
7,460.001615
7,460.001615
7,450.001088
14,789.997673
14,936.996925
14,935.003245
14,949.998115
14,1091.00002
14,1160.00547
14,1475.99852
12,580.0011
12,649.998464
12,714.998182
12,779.996943
12,899.995713
12,727.002561
12,869.997206
12,997.99673
12,997.99673
12,1250.00146
12,1250.00146
12,1499.99942
12,1525.00047
12,1799.9965
12,516.001669
12,500.000951
12,649.998464
12,662.996692
12,746.003282
12,850.003103
12,1250.00146
12,850.003103
12,909.995815
12,965.001832
12,1220.00471
12,1400.00348
12,1480.0039
12,1600.00175
12,670.001533
12,699.999766
12,970.003811
12,699.999766
12,1150.0032
12,929.001172
12,850.003103
13,450.001088
13,552.001079
13,634.996826
13,799.998618
13,889.998698
13,929.995735
13,1062.00085
13,997.99673
13,997.99673
13,1225.00475
13,1409.99297
13,1549.99968
13,1549.99968
13,1480.0039
17,997.99673
17,997.99673
17,1300.00059
17,1729.00262
17,1919.99911
17,1591.00314
17,2335.00661
17,539.002387
17,578.998566
17,623.99977
17,623.002169
17,609.001055
17,583.999426
17,644.00082
12,807.998337
12,869.997206
12,1000.00472
12,1140.9996
12,1125.0019
12,1376.99656
12,1355.99394
14,846.000542
14,924.996543
14,899.995713
14,1040.00417
14,1107.99793
14,1256.00333
14,1173.99765
17,719.999127
17,600.000207
17,749.997595
17,819.996441
17,869.997206
17,1027.99954
17,1150.0032
9,724.9988
9,799.998618
9,824.997206
9,874.996599
9,949.998115
9,1009.00502
9,1095.9973
17,997.99673
17,997.99673
17,3249.99911
17,3749.9958
17,2724.00908
17,3364.01339
17,5100.02133
12,515.001596
12,600.000207
12,1000.00472
12,1000.00472
12,873.00388
12,959.996847
12,1000.00472
16,997.99673
16,997.99673
16,1749.99813
16,1849.9983
16,1999.99508
16,1821.99986
16,2099.99449
12,749.997595
12,823.999563
12,914.99628
12,1071.00207
12,1019.00302
12,1100.005
12,1100.005
8,550.000947
8,699.999766
8,709.996471
8,850.003103
8,1031.99593
8,1050.00479
8,1100.005
16,989.995106
16,997.99673
16,1300.00059
16,1499.99942
16,1600.00175
16,1799.9965
16,1799.9965
12,502.999914
12,545.002292
12,588.001795
12,666.000219
12,749.997595
12,886.002702
12,1009.00502
12,611.998603
12,657.996755
12,747.997773
12,817.00074
12,949.998115
12,624.998969
12,312.999001
14,929.995735
14,997.99673
14,1190.00168
14,1210.00528
14,1600.00175
14,1699.994
14,1559.99828
12,249.999771
12,363.998592
12,576.001347
12,649.998464
12,697.003199
12,778.002704
12,865.000427
8,433.000984
8,458.000374
8,500.000951
8,530.001587
8,560.001801
8,628.99921
8,658.997671
8,654.001732
8,682.000233
8,740.999537
8,824.997206
8,935.003245
8,1063.99929
8,1150.0032
8,654.001732
8,701.99761
8,734.999633
8,819.996441
8,949.998115
8,1062.00085
8,1166.9981
17,997.99673
17,997.99673
17,1699.994
17,1799.9965
17,1949.99093
17,2099.99449
17,1894.9922
12,560.001801
12,649.998464
12,724.9988
12,799.998618
12,799.998618
12,1033.99994
12,1150.0032
12,304.999458
12,386.998184
12,411.99862
12,500.000951
12,540.000465
12,584.998919
12,634.996826
12,774.997652
12,874.996599
12,1200.0038
12,1000.00472
12,1221.99494
12,1127.99839
12,1499.99942
13,997.99673
13,719.999127
13,1316.99776
13,1499.99942
13,1649.99907
13,1613.99863
13,2096.00829
11,763.001502
11,885.002084
11,1004.99717
11,1077.99703
11,1050.00479
11,1118.00374
11,1412.99946
16,997.99673
16,997.99673
16,1749.99813
16,1814.99865
16,1970.00232
16,2130.00584
16,1749.99813
16,624.998969
16,749.997595
16,749.997595
16,874.996599
16,1250.00146
16,1274.99814
16,1400.00348
9,507.999265
9,563.000209
9,580.99956
9,632.999733
9,714.998182
9,1089.99676
9,1365.0004
8,359.998549
8,325.001566
8,399.998181
8,450.001088
8,556.000948
8,624.998969
8,668.997284
16,830.003568
16,796.996271
16,833.997162
16,970.003811
16,970.003811
16,1055.00417
16,1222.99739
12,584.998919
12,649.998464
12,724.9988
12,799.998618
12,909.995815
12,970.003811
12,1059.99556
14,507.999265
14,550.000947
14,600.000207
14,749.997595
14,874.996599
14,853.998981
14,1300.00059
16,874.996599
16,997.99673
16,1499.99942
16,1799.9965
16,1006.00267
16,1224.00066
16,1632.99332
15,997.99673
15,997.99673
15,1250.00146
15,1300.00059
15,1400.00348
15,1499.99942
15,1649.99907
12,649.998464
12,744.996857
12,830.003568
12,1100.005
12,1100.005
12,1336.99522
12,1353.0005
14,314.999169
14,314.999169
14,509.99963
14,649.998464
14,749.997595
14,1050.00479
14,959.996847
16,689.998898
16,936.004234
16,799.998618
16,935.003245
16,1000.00472
16,949.998115
16,1000.00472
12,529.00083
12,692.002799
12,710.998272
12,731.999624
12,933.004478
12,1032.99745
12,901.004273
16,550.000947
16,621.999942
16,653.001875
16,739.999862
16,760.001191
16,850.003103
16,923.000707
8,224.99991
8,235.001054
8,235.001054
8,265.000046
8,299.999258
8,299.999258
8,299.999258
12,505.000793
12,550.000947
12,550.000947
12,592.997391
12,623.002169
12,699.999766
12,799.998618
17,850.003103
17,834.99856
17,975.002466
17,1020.00214
17,991.996918
17,1126.99491
17,1250.00146
16,679.998097
16,799.998618
16,899.995713
16,1100.005
16,1100.005
16,1450.00169
16,1600.00175
13,774.997652
13,874.996599
13,899.995713
13,949.998115
13,1100.005
13,1200.0038
13,1174.99597
12,696.000236
12,634.996826
12,718.999024
12,791.998898
12,873.999672
12,961.995719
12,1000.00472
12,764.001689
12,799.998618
12,839.998411
12,975.002466
12,1018.00489
12,1142.9981
12,1198.00146
12,699.999766
12,724.9988
12,774.997652
12,624.998969
12,749.997595
12,899.995713
12,799.998618
17,749.997595
17,899.995713
17,949.998115
17,1000.00472
17,1050.00479
17,1200.0038
17,1274.99814
12,450.001088
12,500.000951
12,500.000951
12,705.001549
12,784.997082
12,954.99872
12,1064.99992
12,311.999005
12,425.000353
12,436.998604
12,550.000947
12,600.000207
12,649.998464
12,674.998184
12,419.998021
12,485.000538
12,500.000951
12,550.000947
12,636.000914
12,679.998097
12,767.002453
11,433.998032
11,490.002258
11,555.001047
11,598.999043
11,649.998464
11,733.003151
11,805.996984
12,481.998017
12,553.997404
12,609.001055
12,600.000207
12,674.998184
12,744.996857
12,794.998319
15,824.997206
15,885.002084
15,977.003271
15,1100.005
15,1200.0038
15,1300.00059
15,1470.00341
10,150.000706
10,150.000706
10,249.999771
10,289.999732
10,309.999288
10,334.999822
10,334.999822
17,509.00101
17,719.999127
17,774.997652
17,850.003103
17,1799.9965
17,3500.00613
17,4057.0038
17,997.99673
17,997.99673
17,1649.99907
17,1749.99813
17,1849.9983
17,1749.99813
17,1949.99093
9,290.999049
9,312.999001
9,340.00149
9,436.998604
9,399.998181
9,399.998181
9,463.001364
12,399.998181
12,375.00149
12,436.998604
12,436.998604
12,525.000912
12,624.998969
12,699.999766
16,997.99673
16,997.99673
16,1376.99656
16,1470.00341
16,1531.00552
16,1945.99754
16,1438.0021
16,997.99673
16,997.99673
16,1549.99968
16,1499.99942
16,1910.00283
16,2250.01014
16,2199.99419
12,438.000477
12,673.999925
12,751.003266
12,811.999724
12,894.003777
12,988.995716
12,1092.99837
12,390.001272
12,451.0012
12,480.00187
12,502.999914
12,539.002387
12,580.99956
12,834.99856
14,623.99977
14,779.996943
14,850.003103
14,949.998115
14,1000.00472
14,1253.00507
14,1365.0004
15,874.996599
15,920.999967
15,436.998604
15,1000.00472
15,500.000951
15,812.999098
15,729.99669
9,446.000467
9,472.000479
9,513.998322
9,592.001992
9,617.000602
9,714.998182
9,859.997945
16,312.999001
16,375.00149
16,410.001165
16,382.998089
16,425.000353
16,558.000579
16,583.999426
12,539.002387
12,600.000207
12,696.000236
12,838.001592
12,1796.00494
12,838.001592
12,1077.99703
12,699.999766
12,959.996847
12,1018.00489
12,1170.00114
12,1250.00146
12,1699.994
12,1267.00357
14,349.998896
14,359.998549
14,399.998181
14,415.000614
14,450.001088
14,474.997718
14,500.000951
8,225.99887
8,248.999279
8,180.000567
8,210.000519
8,282.000826
8,286.999364
8,314.999169
12,701.99761
12,824.997206
12,753.003594
12,925.996079
12,1050.00479
12,889.002458
12,1200.0038
12,699.999766
12,749.997595
12,817.00074
12,885.002084
12,980.997587
12,1104.99932
12,1227.00314
12,899.995713
12,949.998115
12,1075.00436
12,1206.99611
12,1786.99372
12,1721.9971
12,1769.99146
12,997.99673
12,997.99673
12,1231.99489
12,1181.00376
12,1162.0024
12,1126.00359
12,1426.002
12,749.997595
12,749.997595
12,927.998392
12,1018.00489
12,1123.00117
12,1168.00215
12,1316.99776
17,997.99673
17,997.99673
17,1150.0032
17,1200.0038
17,1250.00146
17,1095.9973
17,1112.99516
9,443.997974
9,540.000465
9,605.000933
9,749.997595
9,827.997388
9,920.999967
9,1048.00119
6,446.000467
6,540.000465
6,540.000465
6,584.998919
6,647.999549
6,697.003199
6,727.999237
12,537.001023
12,638.997154
12,698.999481
12,769.999604
12,869.997206
12,936.004234
12,1041.00305
16,997.99673
16,997.99673
16,1579.9998
16,1676.99705
16,1749.99813
16,1453.0063
16,1796.00494
12,698.999481
12,929.995735
12,895.99963
12,898.997272
12,1002.99921
12,804.998167
12,649.998464
16,630.000114
16,749.997595
16,809.996559
16,924.996543
16,1000.00472
16,831.000171
16,828.999871
9,425.000353
9,500.000951
9,624.998969
9,724.9988
9,799.998618
9,850.003103
9,1000.00472
7,253.000129
7,336.999013
7,365.000966
7,393.999642
7,425.000353
7,458.999904
7,499.001948
12,799.998618
12,799.998618
12,874.996599
12,940.000117
12,1125.0019
12,1198.00146
12,1250.00146
13,600.000207
13,678.001839
13,737.997178
13,843.997895
13,936.996925
13,1000.00472
